Year,DonorName,RecipientName,ha_rank,ha_oda,total_oda
2020,African Development Bank,Equatorial Guinea,137,0,0.255071
2020,African Development Fund,Equatorial Guinea,137,0,0
2018,African Development Fund,Eritrea,75,0,1.196799
2019,African Development Fund,Eritrea,89,0,9.726288
2020,African Development Fund,Eritrea,111,0,4.206177
2018,African Development Bank,Eswatini,90,0,0.850747
2018,African Development Fund,Eswatini,90,0,0
2019,African Development Bank,Eswatini,118,0,0.559949
2019,African Development Fund,Eswatini,118,0,0
2019,International Development Association,Eswatini,118,0,0
2020,International Development Association,Eswatini,102,0,0
2020,African Development Bank,Eswatini,102,0,0.330632
2020,African Development Fund,Eswatini,102,0,0
2018,International Development Association,Ethiopia,7,11.150773,2146.44047
2018,African Development Fund,Ethiopia,7,0,179.903576
2018,African Development Bank,Ethiopia,7,0,0.038536
2019,International Development Association,Ethiopia,8,14.123634,1852.180739
2019,African Development Fund,Ethiopia,8,0,185.247894
2020,African Development Fund,Ethiopia,6,0,277.219599
2020,International Development Association,Ethiopia,6,19.053638,2012.835299
2020,African Development Bank,Ethiopia,6,0,0.016671
2018,Islamic Development Bank,"Europe, regional",,0,0
2019,Islamic Development Bank,"Europe, regional",,0,0.042679
2018,International Development Association,"Far East Asia, regional",,0.083377,1.389619
2019,Islamic Development Bank,"Far East Asia, regional",,0,0.042136
2019,Asian Development Bank,"Far East Asia, regional",,0,11.447629
2020,Asian Development Bank,"Far East Asia, regional",,0,16.516912
2018,Asian Development Bank,Fiji,89,0,0.952921
2019,Islamic Development Bank,Fiji,86,0,0.205542
2019,Asian Development Bank,Fiji,86,0,0.978401
2019,International Development Association,Fiji,86,0,0
2020,Asian Development Bank,Fiji,69,0,1.451199
2020,International Development Association,Fiji,69,9.480931,28.825673
2018,African Development Bank,Gabon,138,0,3.578107
2018,African Development Fund,Gabon,138,0,0
2018,Islamic Development Bank,Gabon,138,0,0
2019,Islamic Development Bank,Gabon,125,0,0
2019,African Development Bank,Gabon,125,0,1.045511
2019,African Development Fund,Gabon,125,0,0
2020,Islamic Development Bank,Gabon,130,0,0
2020,African Development Bank,Gabon,130,0,0.631225
2020,African Development Fund,Gabon,130,0,0
2018,International Development Association,Gambia,108,0,34.23324
2018,African Development Fund,Gambia,108,0,27.56768
2018,Islamic Development Bank,Gambia,108,0,7.709391
2019,Islamic Development Bank,Gambia,98,0,7.432138
2019,International Development Association,Gambia,98,0,15.732199
2019,African Development Fund,Gambia,98,0,33.783531
2020,Islamic Development Bank,Gambia,124,0,4.412757
2020,African Development Fund,Gambia,124,0,24.907426
2020,International Development Association,Gambia,124,0,83.504395
2018,Asian Development Bank,Georgia,56,0,31.348756
2018,International Development Association,Georgia,56,0,7.951563
2018,Council of Europe Development Bank,Georgia,56,0,0
2019,Asian Development Bank,Georgia,45,0,28.456362
2019,International Development Association,Georgia,45,0,2.797899
2019,Council of Europe Development Bank,Georgia,45,0,0
2020,Council of Europe Development Bank,Georgia,117,0,0
2020,Asian Development Bank,Georgia,117,0,13.226945
2020,International Development Association,Georgia,117,0,5.805213
2018,International Development Association,Ghana,92,0,142.747015
2018,African Development Fund,Ghana,92,0,50.070228
2018,African Development Bank,Ghana,92,0,0.033811
2018,Islamic Development Bank,Ghana,92,0,0
2019,International Development Association,Ghana,91,0,161.66979
2019,African Development Bank,Ghana,91,0,0.02136
2019,African Development Fund,Ghana,91,0,90.321581
2020,African Development Fund,Ghana,85,0,132.200645
2020,International Development Association,Ghana,85,2.900671,396.90608
2020,African Development Bank,Ghana,85,0,0.000559
2018,Caribbean Development Bank,Grenada,97,0,1.168632
2018,International Development Association,Grenada,97,3.326678,33.546919
2019,International Development Association,Grenada,139,0,3.097201
2019,Caribbean Development Bank,Grenada,139,0,6.120807
2020,International Development Association,Grenada,119,2.4,26.758355
2020,Caribbean Development Bank,Grenada,119,0,11.318
2018,Inter-American Development Bank,Guatemala,57,0.201617,19.515618
2019,Inter-American Development Bank,Guatemala,51,0,17.244872
2020,Inter-American Development Bank,Guatemala,54,0.4,284.221938
2018,International Development Association,Guinea,70,0.197494,140.237256
2018,African Development Fund,Guinea,70,0,23.553577
2018,Islamic Development Bank,Guinea,70,0,23.2507
2019,Islamic Development Bank,Guinea,72,0,8.971356
2019,African Development Bank,Guinea,72,0,0
2019,International Development Association,Guinea,72,0.635103,169.794839
2019,African Development Fund,Guinea,72,0,32.957063
2020,Islamic Development Bank,Guinea,93,0,4.497748
2020,African Development Fund,Guinea,93,0,49.106022
2020,International Development Association,Guinea,93,1.682286,164.028179
2020,African Development Bank,Guinea,93,0,0.082082
2018,International Development Association,Guinea-Bissau,111,0,55.155566
2018,African Development Fund,Guinea-Bissau,111,0,7.617415
2018,African Development Bank,Guinea-Bissau,111,0,0
2018,Islamic Development Bank,Guinea-Bissau,111,0,0.010112
2019,Islamic Development Bank,Guinea-Bissau,99,0,0.06269
2019,International Development Association,Guinea-Bissau,99,0,28.396691
2019,African Development Fund,Guinea-Bissau,99,0,6.599863
2020,Islamic Development Bank,Guinea-Bissau,122,0,9.31
2020,African Development Fund,Guinea-Bissau,122,0,7.027913
2020,International Development Association,Guinea-Bissau,122,0,41.937612
2020,African Development Bank,Guinea-Bissau,122,0,0.106282
2018,Caribbean Development Bank,Guyana,120,0,3.976972
2018,Inter-American Development Bank,Guyana,120,0,28.53775
2018,International Development Association,Guyana,120,0,41.784559
2018,Islamic Development Bank,Guyana,120,0,0
2019,Inter-American Development Bank,Guyana,127,0,35.358523
2019,Islamic Development Bank,Guyana,127,0,0.086328
2019,International Development Association,Guyana,127,0,8.801745
2019,Caribbean Development Bank,Guyana,127,0,13.34732
2020,International Development Association,Guyana,132,0,4.815318
2020,Inter-American Development Bank,Guyana,132,0,21.241841
2020,Caribbean Development Bank,Guyana,132,0,6.705
2018,Caribbean Development Bank,Haiti,28,0,0
2018,Inter-American Development Bank,Haiti,28,0,120.194952
2018,International Development Association,Haiti,28,23.761474,113.755759
2019,Inter-American Development Bank,Haiti,36,0,68.522817
2019,International Development Association,Haiti,36,10.592808,84.164772
2019,Caribbean Development Bank,Haiti,36,0,8.194464
2020,International Development Association,Haiti,31,25.225394,129.375915
2020,Inter-American Development Bank,Haiti,31,0,2.915386
2020,Caribbean Development Bank,Haiti,31,0,7.882
2018,Inter-American Development Bank,Honduras,58,0,319.962115
2018,International Development Association,Honduras,58,2.587694,8.674284
2019,Inter-American Development Bank,Honduras,57,0,172.905245
2019,International Development Association,Honduras,57,3.660904,20.930674
2020,International Development Association,Honduras,33,55.675945,144.72229
2020,Inter-American Development Bank,Honduras,33,0.395913,366.427625
2018,Asian Development Bank,India,27,0,6.16702
2018,International Development Association,India,27,103.726871,1040.01697
2018,Islamic Development Bank,India,27,0,0
2019,Islamic Development Bank,India,19,0,0.030372
2019,Asian Development Bank,India,19,0,8.794392
2019,International Development Association,India,19,241.001517,1052.39351
2020,Asian Development Bank,India,39,0,9.318248
2020,Islamic Development Bank,India,39,0,0.035584
2020,International Development Association,India,39,57.599165,837.438735
2018,Asian Development Bank,Indonesia,31,0,3.780154
2018,International Development Association,Indonesia,31,0,0
2018,Islamic Development Bank,Indonesia,31,0,-0.556407
2019,Islamic Development Bank,Indonesia,48,0,1.206463
2019,Asian Development Bank,Indonesia,48,0,4.815834
2019,International Development Association,Indonesia,48,0,0
2020,Islamic Development Bank,Indonesia,52,0,0.692975
2020,Asian Development Bank,Indonesia,52,0,13.905361
2020,International Development Association,Indonesia,52,0,0
2018,Islamic Development Bank,Iran,46,0,0
2019,Islamic Development Bank,Iran,41,0,1.449067
2020,Islamic Development Bank,Iran,45,0,0
2018,International Development Association,Iraq,3,0,0
2018,Islamic Development Bank,Iraq,3,0,0
2019,International Development Association,Iraq,3,0,0
2020,International Development Association,Iraq,7,0,0
2018,Caribbean Development Bank,Jamaica,114,0,1.691989
2018,Inter-American Development Bank,Jamaica,114,0,3.276607
2019,Inter-American Development Bank,Jamaica,131,0,1.85487
2019,Caribbean Development Bank,Jamaica,131,0,15.606846
2020,Inter-American Development Bank,Jamaica,131,0,1.725101
2020,Caribbean Development Bank,Jamaica,131,0,0.292
2018,International Development Association,Jordan,13,0,15.17134
2018,Islamic Development Bank,Jordan,13,0,0
2019,Islamic Development Bank,Jordan,15,0,0.296442
2019,International Development Association,Jordan,15,0,18.790579
2020,Islamic Development Bank,Jordan,15,0,0.600849
2020,International Development Association,Jordan,15,0,34.941874
2018,Asian Development Bank,Kazakhstan,127,0,1.762264
2018,Islamic Development Bank,Kazakhstan,127,0,0
2019,Islamic Development Bank,Kazakhstan,132,0,0.20996
2019,Asian Development Bank,Kazakhstan,132,0,3.433834
2020,Islamic Development Bank,Kazakhstan,66,0,0
2020,Asian Development Bank,Kazakhstan,66,0,2.454336
2018,International Development Association,Kenya,20,6.031546,768.197957
2018,African Development Fund,Kenya,20,0,190.859339
2018,African Development Bank,Kenya,20,0,0.425515
2019,International Development Association,Kenya,21,72.555615,1535.908983
2019,African Development Bank,Kenya,21,0,0.831809
2019,African Development Fund,Kenya,21,0,90.965434
2020,Islamic Development Bank,Kenya,17,0,0.25
2020,African Development Fund,Kenya,17,0,61.033778
2020,International Development Association,Kenya,17,110.842436,1716.910015
2020,African Development Bank,Kenya,17,0,1.483757
2018,Asian Development Bank,Kiribati,133,0,5.289941
2018,International Development Association,Kiribati,133,0,11.067589
2019,Asian Development Bank,Kiribati,136,0,2.844443
